20250501-112849,11:28:49,Carbide milling 1000,Aluminium,222,Completed,0
20250501-112857,11:28:57,Carbide milling 2000,Titanium,22,Completed,0
20250501-112906,11:29:06,HSS drill 3000,Brass,22,Completed,0
20250501-204717,20:47:17,Carbide milling 1000,Aluminium,222,Completed,0
20250501-204726,20:47:26,Carbide milling 1000,Aluminium,233,Completed,0
20250502-113354,11:33:54,HSS drill 3000,Brass,22,Completed,0
20250502-113628,11:36:28,Carbide milling 2000,Stainless steel,55,Completed,0
20250502-113825,11:38:25,Carbide milling 1000,Aluminium,222,Completed,0
20250504-210620,21:06:20,Carbide milling 1000,Aluminium,222,Completed,0
20250504-210932,21:09:32,Carbide milling 1000,Brass,122,Completed,0
20250504-210939,21:09:39,Carbide milling 2000,Titanium,22,Completed,0
20250505-125420,12:54:20,Carbide milling 1000,Aluminium,222,Completed,0
